Postal Code,Number of Charging Stations,EV Ownership Rank,
98004,166,3,
98109,125,21,
98121,111,,
98005,70,,
98101,58,,
99354,49,,
98104,48,,
98188,40,,
98119,37,,
98052,31,1,
99224,31,,
98409,31,,
98501,30,16,
98105,24,24,
98134,24,,
99201,23,,
98057,23,,
98642,22,,
99362,21,,
98033,20,2,
98225,20,,
98034,20,10,
98027,20,22,
98271,18,,
98502,18,,
98011,18,,
98108,18,,
98662,18,,
98901,17,,
98901,17,,
98402,17,,
98801,17,,
98072,17,7,
98133,16,,
98226,16,,
98125,15,,
98122,15,,
98003,15,,
98273,15,,
98007,15,,
98362,15,,
98315,15,,
98233,14,,
98102,14,,
98107,14,,
98661,14,,
98006,14,5,
98421,14,,
98221,13,,
98037,13,,
98029,13,17,
98103,13,11,
99301,13,,
99216,13,,
98671,13,,
98164,13,,
98002,12,,
98166,12,,
98056,12,,
98826,12,,
98331,12,,
98201,11,,
98503,11,,
99163,11,,
98040,11,8,
98368,11,,
98383,11,,
99019,11,,
98036,10,,
98382,10,,
98370,10,,
98926,10,,
98032,10,,
98198,10,,
98118,10,25,
98250,10,,
99202,10,,
98055,10,,
98223,10,,
98405,10,,
98371,10,,
98660,10,,
98026,9,,
98001,9,,
98204,9,,
98106,9,,
98144,9,,
98203,8,,
98020,8,,
98312,8,,
98110,8,13,
98684,8,,
98942,8,,
98520,8,,
98516,7,,
98115,7,4,
98208,7,,
98075,7,12,
98335,7,,
98065,7,,
98374,7,,
99336,7,,
98337,7,,
98433,7,,
98837,6,,
98290,6,,
98632,6,,
98008,6,,
98663,6,,
99352,6,,
98117,6,15,
98532,6,,
98407,6,,
99218,6,,
98403,6,,
98272,5,,
98683,5,,
98229,5,,
98058,5,,
98030,5,,
98042,5,,
98802,5,,
98390,5,,
98584,5,,
98404,5,,
98922,5,,
98424,5,,
98499,5,,
98848,5,,
98531,5,,
98314,5,,
98021,4,19,
98087,4,,
98902,4,,
98155,4,,
98168,4,,
98112,4,20,
99212,4,,
98366,4,,
98012,4,6,
98045,4,,
98230,4,,
98028,4,,
98372,4,,
98444,4,,
98277,4,,
98363,4,,
98261,4,,
98408,4,,
98245,4,,
98043,4,,
98816,4,,
98862,4,,
98903,4,,
98304,4,,
98275,3,,
98579,3,,
98260,3,,
98908,3,,
98392,3,,
98031,3,,
98406,3,,
98373,3,,
98074,3,9,
98116,3,,
98059,3,14,
98367,3,,
98607,3,23,
99338,3,,
98136,3,,
98604,3,,
98327,3,,
98611,3,,
99208,3,,
98356,3,,
98126,3,,
98665,3,,
98512,3,,
99169,3,,
98664,3,,
99217,3,,
98264,3,,
98346,3,,
98375,3,,
98148,3,,
98944,3,,
99114,3,,
98569,3,,
98626,3,,
98631,3,,
99328,3,,
98612,3,,
99324,3,,
98288,3,,
98831,3,,
98951,3,,
98564,3,,
98357,3,,
98267,3,,
99032,3,,
98296,2,,
99205,2,,
98345,2,,
98513,2,,
98270,2,,
99001,2,,
98498,2,,
98446,2,,
98258,2,,
98686,2,,
98685,2,,
98682,2,,
98199,2,,
98022,2,,
98930,2,,
98953,2,,
98070,2,,
98672,2,,
99337,2,,
98239,2,,
98092,2,,
98310,2,,
98311,2,,
98620,2,,
98422,2,,
99204,2,,
98377,2,,
98418,2,,
98528,2,,
98252,2,,
98248,2,,
98582,2,,
99207,2,,
98856,2,,
99403,2,,
98257,2,,
98325,2,,
99206,2,,
99037,2,,
98605,2,,
98937,2,,
98068,2,,
98361,2,,
98844,2,,
98841,2,,
99011,2,,
98438,2,,
98562,2,,
98124,2,,
98283,2,,
98237,1,,
98595,1,,
98292,1,,
98053,1,18,
98822,1,,
98391,1,,
98282,1,,
98178,1,,
98332,1,,
98177,1,,
98506,1,,
98274,1,,
98674,1,,
98024,1,,
98465,1,,
98388,1,,
99016,1,,
99223,1,,
98571,1,,
98247,1,,
98232,1,,
98023,1,,
98467,1,,
98339,1,,
98592,1,,
98146,1,,
98648,1,,
98597,1,,
98855,1,,
98358,1,,
98284,1,,
99004,1,,
98541,1,,
98823,1,,
98249,1,,
99320,1,,
99203,1,,
99350,1,,
99021,1,,
99006,1,,
98625,1,,
99022,1,,
98294,1,,
98644,1,,
98610,1,,
98253,1,,
98240,1,,
98279,1,,
99344,1,,
99170,1,,
98948,1,,
99156,1,,
98047,1,,
99326,1,,
99115,1,,
98851,1,,
99122,1,,
99141,1,,
98241,1,,
98616,1,,
98952,1,,
99116,1,,
98590,1,,
98833,1,,
99361,1,,
98507,1,,
98385,1,,
98575,1,,
98509,1,,
98236,0,,
98344,0,,
99026,0,,
98038,0,,
98329,0,,
98580,0,,
98524,0,,
98281,0,,
98077,0,,
98941,0,,
98039,0,,
98843,0,,
98466,0,,
98847,0,,
98546,0,,
98443,0,,
98010,0,,
98639,0,,
98380,0,,
99161,0,,
98349,0,,
98675,0,,
98445,0,,
98220,0,,
98360,0,,
98588,0,,
98333,0,,
98936,0,,
98387,0,,
98158,0,,
98340,0,,
99360,0,,
98303,0,,
98243,0,,
98014,0,,
98359,0,,
98557,0,,
98576,0,,
98019,0,,
99027,0,,
98328,0,,
99003,0,,
98365,0,,
98051,0,,
99118,0,,
98244,0,,
98354,0,,
98548,0,,
99353,0,,
98504,0,,
98338,0,,
98577,0,,
98606,0,,
98850,0,,
99171,0,,
98550,0,,
99123,0,,
99323,0,,
98629,0,,
98940,0,,
99181,0,,
98342,0,,
98321,0,,
98563,0,,
98206,0,,
98394,0,,
98570,0,,
98276,0,,
98650,0,,
99005,0,,
98262,0,,
99025,0,,
99036,0,,
98815,0,,
98603,0,,
98537,0,,
98624,0,,
98568,0,,
98645,0,,
98596,0,,
98589,0,,
99357,0,,
98651,0,,
98601,0,,
98581,0,,
98235,0,,
98050,0,,
98640,0,,
99166,0,,
99133,0,,
99109,0,,
98946,0,,
98828,0,,
99341,0,,
98932,0,,
99185,0,,
98591,0,,
99330,0,,
98381,0,,
99130,0,,
99147,0,,
99134,0,,
98542,0,,
99347,0,,
98351,0,,
98320,0,,
99029,0,,
98266,0,,
98617,0,,
98950,0,,
98812,0,,
99343,0,,
98858,0,,
98614,0,,
98251,0,,
98947,0,,
99349,0,,
99101,0,,
99148,0,,
98638,0,,
98376,0,,
99402,0,,
98925,0,,
98647,0,,
98555,0,,
98832,0,,
98857,0,,
98635,0,,
98586,0,,
98840,0,,
98830,0,,
98846,0,,
98295,0,,
99119,0,,
99009,0,,
98323,0,,
99030,0,,
99018,0,,
98834,0,,
99034,0,,
98439,0,,
98849,0,,
98547,0,,
99173,0,,
99125,0,,
99138,0,,
98814,0,,
98396,0,,
99111,0,,
98634,0,,
99167,0,,
98286,0,,
98224,0,,
99031,0,,
98585,0,,
98670,0,,
98938,0,,
98593,0,,
98934,0,,
99023,0,,
99137,0,,
99126,0,,
98305,0,,
98621,0,,
99159,0,,
99180,0,,
98355,0,,
98526,0,,
98649,0,,
98538,0,,
98533,0,,
99135,0,,
99008,0,,
99033,0,,
98572,0,,
99013,0,,
98263,0,,
98619,0,,
99113,0,,
98326,0,,
98530,0,,
98535,0,,
98583,0,,
98417,0,,
98845,0,,
98386,0,,
99121,0,,
99110,0,,
99356,0,,
98297,0,,
99129,0,,
98227,0,,
98943,0,,
98613,0,,
99012,0,,
99017,0,,
98641,0,,
98536,0,,
98587,0,,
98643,0,,
98853,0,,
98527,0,,
98560,0,,
99131,0,,
99348,0,,
98609,0,,
98401,0,,
98336,0,,
98935,0,,
99179,0,,